StateFIPS,CountyFIPS,County,Party,Candidate,Method,Votes
13,001,Appling,D,Jackson,AbsenteeMail,86
13,001,Appling,D,Jackson,AdvancedVoting,162
13,001,Appling,D,Jackson,ElectionDay,58
13,001,Appling,D,Jackson,Provisional,0
13,001,Appling,D,Jackson,Total,306
13,001,Appling,D,James,AbsenteeMail,19
13,001,Appling,D,James,AdvancedVoting,45
13,001,Appling,D,James,ElectionDay,24
13,001,Appling,D,James,Provisional,0
13,001,Appling,D,James,Total,88
13,001,Appling,D,JohnsonShealey,AbsenteeMail,10
13,001,Appling,D,JohnsonShealey,AdvancedVoting,30
13,001,Appling,D,JohnsonShealey,ElectionDay,13
13,001,Appling,D,JohnsonShealey,Provisional,1
13,001,Appling,D,JohnsonShealey,Total,54
13,001,Appling,D,Lieberman,AbsenteeMail,20
13,001,Appling,D,Lieberman,AdvancedVoting,45
13,001,Appling,D,Lieberman,ElectionDay,20
13,001,Appling,D,Lieberman,Provisional,0
13,001,Appling,D,Lieberman,Total,85
13,001,Appling,D,Slade,AbsenteeMail,8
13,001,Appling,D,Slade,AdvancedVoting,26
13,001,Appling,D,Slade,ElectionDay,6
13,001,Appling,D,Slade,Provisional,1
13,001,Appling,D,Slade,Total,41
13,001,Appling,D,Tarver,AbsenteeMail,3
13,001,Appling,D,Tarver,AdvancedVoting,8
13,001,Appling,D,Tarver,ElectionDay,0
13,001,Appling,D,Tarver,Provisional,0
13,001,Appling,D,Tarver,Total,11
13,001,Appling,D,Warnock,AbsenteeMail,393
13,001,Appling,D,Warnock,AdvancedVoting,484
13,001,Appling,D,Warnock,ElectionDay,172
13,001,Appling,D,Warnock,Provisional,2
13,001,Appling,D,Warnock,Total,1051
13,001,Appling,D,Winfield,AbsenteeMail,7
13,001,Appling,D,Winfield,AdvancedVoting,9
13,001,Appling,D,Winfield,ElectionDay,9
13,001,Appling,D,Winfield,Provisional,0
13,001,Appling,D,Winfield,Total,25
13,001,Appling,G,Fortuin,AbsenteeMail,6
13,001,Appling,G,Fortuin,AdvancedVoting,3
13,001,Appling,G,Fortuin,ElectionDay,8
